model,auc,accuracy,recall,precision,training_time
LogisticRegression,0.9559720677543988,0.9991581162851881,0.9998594098729416,0.9992974444542022,235.51180696487427
RandomForest,0.9698315711448807,0.9992984302376567,0.9997891148094125,0.9995080728754897,233.63772201538086
